dist_img	ref_img	dmos	var	 	mse	psnr	ssim	sg_essim	ffs
I01_01_01.png	I01.png	4.57	0.496	 	0.0	inf	1.0	1.0	0.0
I01_01_02.png	I01.png	4.33	0.869	 	6.1334788004557295	40.253734923357456	0.9939774185296644	0.9997752167262103	0.21518487380492404
I01_01_03.png	I01.png	2.67	0.789	 	49.25329250759549	31.206450931391455	0.9493885698087916	0.9967706128152308	0.28413418979967525
I01_01_04.png	I01.png	1.67	0.596	 	132.20220269097223	26.91841669647448	0.8609657438633939	0.982600594064556	0.3543625870614183
I01_01_05.png	I01.png	1.1	0.3	 	584.1752149793837	20.46537233814132	0.7053601632520432	0.9310076604626282	0.5031943934380146
I01_02_01.png	I01.png	3.83	0.86	 	20.119155883789062	35.09470605294298	0.979462505920091	0.9991577218434418	0.24702055260375982
I01_02_02.png	I01.png	2.27	0.772	 	67.53421020507812	29.835565355985366	0.9303252469568796	0.995210272694217	0.2962593901074054
I01_02_03.png	I01.png	1.53	0.67	 	169.8662363688151	25.82973296395007	0.8213676311719036	0.9749471182950261	0.3715159271480979
I01_02_04.png	I01.png	1.23	0.418	 	341.78899637858075	22.793222840191415	0.7443710807413492	0.9481567310577966	0.42833653014159545
I01_02_05.png	I01.png	1.2	0.4	 	588.4160817464193	20.433958271348395	0.6931464883785691	0.9278504030564099	0.49162423096605107
I01_03_01.png	I01.png	4.73	0.442	 	0.0	inf	1.0	1.0	0.0
I01_03_02.png	I01.png	3.97	0.657	 	17.79993353949653	35.62661980103051	0.9843204118327579	0.9993425148900351	0.22856748018086726
I01_03_03.png	I01.png	2.7	0.936	 	58.886544121636284	30.430642932682865	0.9426994557148104	0.9956308851999426	0.2878878500599982
I01_03_04.png	I01.png	2.03	0.795	 	100.94742329915364	28.08985122890292	0.9001438928452443	0.9887478263870856	0.32037123335499373
I01_03_05.png	I01.png	1.5	0.5	 	199.40870836046008	25.13336240441363	0.8074289533301137	0.964414548978637	0.38001016556063794
I01_04_01.png	I01.png	4.73	0.512	 	12.366704305013021	37.208263841853636	0.978851827080211	0.9998461364167444	0.22251891531714013
I01_04_02.png	I01.png	2.17	1.035	 	4182.688557942708	11.916248325536952	0.6464719242970282	0.9874292779131718	0.44479252798471913
I01_04_03.png	I01.png	1.37	0.547	 	6466.57948981391	10.024057404018778	0.5409233406921946	0.9693123053642624	0.4743999461553502
I01_04_04.png	I01.png	1.5	0.619	 	7704.078542073567	9.263596591533961	0.49823782033919795	0.9576633536496795	0.4919142734776878
